"","Color_label_source","Subject","Chain","Generation","Condition","Confidence","Color_label_matched","Language.x","Age.x","Gender.x","Language_spoken.x","rt","Condition_label.x","Lightness_source","Lighness_matched","Saturation_source","Saturation_matched","Hue_source","Hue_matched","Unique_hue","Seed","Dif","RHAD","Error_rate_hue","Error_rate_sat","Condition_label.y","basic_colors","creative_name","Language.y","Hue_color_to_name","Saturation_color_to_name","Lightness_color_to_name","Vision_impairments","Age.y","Gender.y","Language_spoken.y","Participated_before"
"1","seed dark rose","13ta","0",5,"2",4,"seed dark rose","English","44","female","German",47160,"Naming transmission",50,50,56,65,313,309,372.2,327.55,63.2,141.545352743561,4,9,"Naming transmission","pink","dark hue of magenta","English",309,65,50,"no","44","female","German","no"
"2","seed dark rose","1ub2","0",13,"1",5,"seed dark rose","English","53","male","danish",13965,"Pure transmission",50,50,61,57,302,308,372.2,327.55,64.2,143.784994400896,6,4,"Pure transmission","purple","Psychedelic purple","English",308,57,50,"no","53","male","danish","no"
"3","seed dark rose","28dd","0",0,"2",4,"seed dark rose","English","24","female","geman",6990,"Naming transmission",50,50,60,52,327.55,321,372.2,327.55,51.2,114.669652855543,6.55000000000001,8,"Naming transmission","pink","Cupcake","English",321,52,50,"no","24","female","geman","no"
"4","seed dark rose","32hh","0",13,"2",4,"seed dark rose","English","27","female","danish",3363,"Naming transmission",50,50,92,76,295,305,372.2,327.55,67.2,150.5039193729,10,16,"Naming transmission","pink","violet","English",305,76,50,"no","27","female","danish","no"
"5","seed dark rose","4h26","0",5,"1",5,"seed dark rose","English","25","female","English",16647,"Pure transmission",50,50,57,76,313,298,372.2,327.55,74.2,166.181410974244,15,19,"Pure transmission","pink","Magenta","English",298,76,50,"no","25","female","English","no"
"6","seed dark rose","5fq9","0",10,"1",3,"seed dark rose","English","30","male","Lithuanian",6550,"Pure transmission",50,50,60,57,308,315,372.2,327.55,57.2,128.107502799552,7,3,"Pure transmission","purple","purple","English",315,57,50,"no","30","male","Lithuanian","no"
"7","seed dark rose","664l","0",2,"1",5,"seed dark rose","English","23","female","Polish",17452,"Pure transmission",50,50,62,65,310,311,372.2,327.55,61.2,137.066069428891,1,3,"Pure transmission","purple","purple","English",311,65,50,"no","23","female","Polish","no"
"8","seed dark rose","88a9","0",10,"2",6,"seed dark rose","English","26","male","Greek",8071,"Naming transmission",50,50,64,56,308,306,372.2,327.55,66.2,148.264277715566,2,8,"Naming transmission","purple","light purple","English",306,56,50,"no","26","male","Greek","no"
"9","seed dark rose","93q5","0",9,"2",4,"seed dark rose","English","30","female","Ukrainian",9022,"Naming transmission",50,50,60,64,302,308,372.2,327.55,64.2,143.784994400896,6,4,"Naming transmission","purple","bright purple","English",308,64,50,"no","30","female","Ukrainian","no"
"10","seed dark rose","bf6y","0",12,"1",5,"seed dark rose","English","25","male","Dansk",4620,"Pure transmission",50,50,84,61,297,302,372.2,327.55,70.2,157.222844344905,5,23,"Pure transmission","pink","dark pink","English",302,61,50,"no","25","male","Dansk","no"
